current path: ./saved_models/vae-train-1
Loading data
current path: ./saved_models/vae-train-1
Loading data
get poison test loader
Loaded parameters from saved model: LR is 0.001 and current epoch is 1801
Poisoned following participants: 1
We use following environment for graphs:  ppdl_experiment_cifar_pixel_pattern_12
participant_ids are: range(0, 100)
lamda: 0
Iteration 1, Generator loss: -1.9317, l_f: 0.3573, l_d: 85.1660, recons_loss: -85.1660, kld_loss: 0.0083
Normalize: l_f: 0.3571, l_d: 79.6875, kld_loss: 0.0052, s_l_f: 0.1326, s_l_d: 1.9068, s_kld_loss: 0.0023
Iteration 101, Generator loss: -1.9045, l_f: 0.3571, l_d: 79.6875, recons_loss: -79.6875, kld_loss: 0.0052
Normalize: l_f: 0.3579, l_d: 89.6484, kld_loss: 0.0455, s_l_f: 0.1329, s_l_d: 1.9574, s_kld_loss: 0.0193
Iteration 201, Generator loss: -1.9380, l_f: 0.3579, l_d: 89.6484, recons_loss: -89.6484, kld_loss: 0.0455
Normalize: l_f: 0.3550, l_d: 89.6484, kld_loss: 0.0112, s_l_f: 0.1319, s_l_d: 1.9574, s_kld_loss: 0.0048
Iteration 301, Generator loss: -1.9525, l_f: 0.3550, l_d: 89.6484, recons_loss: -89.6484, kld_loss: 0.0112
Normalize: l_f: 0.3579, l_d: 64.7461, kld_loss: 0.1330, s_l_f: 0.1329, s_l_d: 1.8179, s_kld_loss: 0.0542
Iteration 401, Generator loss: -1.7636, l_f: 0.3579, l_d: 64.7461, recons_loss: -64.7461, kld_loss: 0.1330
Normalize: l_f: 0.3551, l_d: 72.2168, kld_loss: 0.0421, s_l_f: 0.1320, s_l_d: 1.8646, s_kld_loss: 0.0179
Iteration 501, Generator loss: -1.8467, l_f: 0.3551, l_d: 72.2168, recons_loss: -72.2168, kld_loss: 0.0421
Normalize: l_f: 0.3548, l_d: 89.6484, kld_loss: 0.0079, s_l_f: 0.1319, s_l_d: 1.9574, s_kld_loss: 0.0034
Iteration 601, Generator loss: -1.9539, l_f: 0.3548, l_d: 89.6484, recons_loss: -89.6484, kld_loss: 0.0079
Normalize: l_f: 0.3567, l_d: 79.6875, kld_loss: 0.0115, s_l_f: 0.1325, s_l_d: 1.9068, s_kld_loss: 0.0050
Iteration 701, Generator loss: -1.9018, l_f: 0.3567, l_d: 79.6875, recons_loss: -79.6875, kld_loss: 0.0115
Epoch 5, Generator loss: -1.8302, l_f: 0.3566, l_d: 67.2363, recons_loss: -67.2363, kld_loss: 0.0089
Normalize: l_f: 0.3566, l_d: 82.1777, kld_loss: 0.0062, s_l_f: 0.1324, s_l_d: 1.9200, s_kld_loss: 0.0027
Iteration 1, Generator loss: -1.9173, l_f: 0.3566, l_d: 82.1777, recons_loss: -82.1777, kld_loss: 0.0062
Normalize: l_f: 0.3568, l_d: 95.1270, kld_loss: 0.0052, s_l_f: 0.1325, s_l_d: 1.9828, s_kld_loss: 0.0022
Iteration 101, Generator loss: -1.9806, l_f: 0.3568, l_d: 95.1270, recons_loss: -95.1270, kld_loss: 0.0052
Normalize: l_f: 0.3585, l_d: 67.2363, kld_loss: 0.0019, s_l_f: 0.1331, s_l_d: 1.8340, s_kld_loss: 0.0008
Iteration 201, Generator loss: -1.8332, l_f: 0.3585, l_d: 67.2363, recons_loss: -67.2363, kld_loss: 0.0019
Normalize: l_f: 0.3548, l_d: 77.1973, kld_loss: 0.0198, s_l_f: 0.1319, s_l_d: 1.8932, s_kld_loss: 0.0085
Iteration 301, Generator loss: -1.8847, l_f: 0.3548, l_d: 77.1973, recons_loss: -77.1973, kld_loss: 0.0198
Normalize: l_f: 0.3573, l_d: 77.1973, kld_loss: 0.0140, s_l_f: 0.1327, s_l_d: 1.8932, s_kld_loss: 0.0060
Iteration 401, Generator loss: -1.8871, l_f: 0.3573, l_d: 77.1973, recons_loss: -77.1973, kld_loss: 0.0140
Normalize: l_f: 0.3549, l_d: 86.1621, kld_loss: 0.0188, s_l_f: 0.1319, s_l_d: 1.9403, s_kld_loss: 0.0081
Iteration 501, Generator loss: -1.9322, l_f: 0.3549, l_d: 86.1621, recons_loss: -86.1621, kld_loss: 0.0188
Normalize: l_f: 0.3550, l_d: 69.7266, kld_loss: 0.0062, s_l_f: 0.1319, s_l_d: 1.8496, s_kld_loss: 0.0027
Iteration 601, Generator loss: -1.8469, l_f: 0.3550, l_d: 69.7266, recons_loss: -69.7266, kld_loss: 0.0062
Normalize: l_f: 0.3558, l_d: 77.1973, kld_loss: 0.0016, s_l_f: 0.1322, s_l_d: 1.8932, s_kld_loss: 0.0007
Iteration 701, Generator loss: -1.8925, l_f: 0.3558, l_d: 77.1973, recons_loss: -77.1973, kld_loss: 0.0016
Epoch 6, Generator loss: -1.8150, l_f: 0.3573, l_d: 65.2441, recons_loss: -65.2441, kld_loss: 0.0143
Normalize: l_f: 0.3571, l_d: 69.2285, kld_loss: 0.0087, s_l_f: 0.1326, s_l_d: 1.8465, s_kld_loss: 0.0038
Iteration 1, Generator loss: -1.8427, l_f: 0.3571, l_d: 69.2285, recons_loss: -69.2285, kld_loss: 0.0087
Normalize: l_f: 0.3570, l_d: 71.2207, kld_loss: 0.0212, s_l_f: 0.1326, s_l_d: 1.8587, s_kld_loss: 0.0091
Iteration 101, Generator loss: -1.8496, l_f: 0.3570, l_d: 71.2207, recons_loss: -71.2207, kld_loss: 0.0212
Normalize: l_f: 0.3576, l_d: 77.1973, kld_loss: 0.3142, s_l_f: 0.1328, s_l_d: 1.8932, s_kld_loss: 0.1187
Iteration 201, Generator loss: -1.7745, l_f: 0.3576, l_d: 77.1973, recons_loss: -77.1973, kld_loss: 0.3142
